MEMBER_NO,labels
6328,重要发展客户
53226,低价值客户
21012,重要挽留客户
29676,一般客户
21042,重要挽留客户
16774,重要保持客户
37123,重要挽留客户
59716,一般客户
18776,重要挽留客户
33953,低价值客户
40971,重要保持客户
44330,重要保持客户
9294,低价值客户
31921,重要发展客户
6891,低价值客户
21225,重要保持客户
34061,低价值客户
25566,低价值客户
58090,低价值客户
56926,重要挽留客户
58820,低价值客户
52537,低价值客户
24190,低价值客户
54541,低价值客户
48079,重要挽留客户
39436,一般客户
16642,重要发展客户
16565,低价值客户
19913,重要发展客户
18987,重要发展客户
17886,重要挽留客户
1250,重要发展客户
21960,重要保持客户
60612,低价值客户
40639,低价值客户
50746,低价值客户
5553,低价值客户
23042,重要发展客户
22562,低价值客户
26900,重要保持客户
24359,重要保持客户
58231,重要挽留客户
13200,低价值客户
51978,一般客户
2558,一般客户
41812,一般客户
41949,低价值客户
60945,低价值客户
26062,低价值客户
50707,一般客户
57783,重要挽留客户
16310,低价值客户
57792,一般客户
58380,低价值客户
54808,重要挽留客户
18459,重要保持客户
38711,重要发展客户
53431,低价值客户
31346,低价值客户
59049,重要发展客户
47395,重要挽留客户
4278,低价值客户
5844,一般客户
40200,低价值客户
24880,重要发展客户
21191,低价值客户
12407,一般客户
32912,低价值客户
44650,重要挽留客户
51343,低价值客户
40821,低价值客户
6742,一般客户
43581,低价值客户
56001,低价值客户
17352,低价值客户
28747,低价值客户
37424,一般客户
45958,重要挽留客户
34084,低价值客户
20739,重要发展客户
23780,一般客户
59353,低价值客户
14849,低价值客户
56712,重要保持客户
55557,低价值客户
19903,低价值客户
3560,低价值客户
17518,重要发展客户
46643,一般客户
25558,重要发展客户
42726,一般客户
48780,重要挽留客户
48295,重要挽留客户
16530,低价值客户
38288,重要挽留客户
3710,重要发展客户
8483,重要挽留客户
26236,低价值客户
54947,重要发展客户
56711,重要挽留客户
19235,一般客户
22287,低价值客户
45328,一般客户
13040,重要保持客户
46458,低价值客户
27501,低价值客户
61123,低价值客户
15775,一般客户
27939,一般客户
56773,重要挽留客户
15718,一般客户
54514,低价值客户
36183,低价值客户
6049,低价值客户
21264,低价值客户
40454,重要发展客户
23564,重要发展客户
44441,重要保持客户
56619,重要保持客户
59724,低价值客户
54025,重要挽留客户
10151,重要挽留客户
59828,一般客户
60679,一般客户
25421,低价值客户
22196,低价值客户
58556,低价值客户
23869,一般客户
17557,低价值客户
51834,低价值客户
29291,重要保持客户
14769,一般客户
30336,重要挽留客户
48175,重要挽留客户
52540,低价值客户
14881,低价值客户
43103,低价值客户
4624,低价值客户
4443,一般客户
53603,重要挽留客户
32335,一般客户
34129,低价值客户
32951,一般客户
60738,一般客户
25271,低价值客户
46134,重要挽留客户
22036,低价值客户
26999,重要保持客户
28582,低价值客户
12339,低价值客户
2927,一般客户
39244,重要挽留客户
45627,重要保持客户
33540,一般客户
15536,低价值客户
45797,重要挽留客户
41225,低价值客户
48429,重要挽留客户
28275,重要挽留客户
28679,重要发展客户
5344,低价值客户
10370,低价值客户
49613,重要保持客户
48607,一般客户
5918,低价值客户
18957,重要挽留客户
17312,低价值客户
30072,重要挽留客户
37669,低价值客户
37270,重要挽留客户
45655,重要挽留客户
46512,低价值客户
55745,重要发展客户
53440,重要发展客户
38290,重要保持客户
44276,重要保持客户
4052,重要挽留客户
12459,重要挽留客户
22227,一般客户
26280,一般客户
30229,一般客户
23695,一般客户
22536,一般客户
49229,低价值客户
60509,低价值客户
23720,重要发展客户
56003,一般客户
57325,重要挽留客户
40508,低价值客户
58981,低价值客户
7546,重要发展客户
2364,重要挽留客户
55442,低价值客户
17601,重要挽留客户
59066,低价值客户
23930,低价值客户
8009,一般客户
45200,一般客户
60354,一般客户
52700,低价值客户
6698,低价值客户
26438,重要挽留客户
7888,低价值客户
10105,重要保持客户
4526,一般客户
46441,低价值客户
27279,一般客户
47222,重要挽留客户
25766,一般客户
36747,重要挽留客户
27935,重要挽留客户
16239,低价值客户
33922,重要发展客户
8805,重要挽留客户
9479,低价值客户
18034,重要挽留客户
40599,低价值客户
43458,重要发展客户
31535,重要保持客户
46722,低价值客户
36856,重要挽留客户
52345,低价值客户
23186,低价值客户
55363,重要发展客户
15494,一般客户
49542,一般客户
34713,低价值客户
29156,重要挽留客户
21371,重要挽留客户
57698,重要保持客户
45983,重要挽留客户
59658,低价值客户
57512,低价值客户
20392,重要挽留客户
29104,重要挽留客户
15824,低价值客户
55237,重要挽留客户
47972,重要挽留客户
17180,低价值客户
23832,低价值客户
6805,低价值客户
30875,低价值客户
12624,重要挽留客户
32986,重要发展客户
60933,低价值客户
3178,一般客户
25417,低价值客户
33009,低价值客户
58137,低价值客户
54012,重要挽留客户
4745,一般客户
44391,低价值客户
17294,重要挽留客户
46649,低价值客户
5763,一般客户
1410,低价值客户
26653,重要挽留客户
24443,低价值客户
53385,低价值客户
16779,一般客户
28541,低价值客户
58817,低价值客户
1678,重要发展客户
53535,重要保持客户
39114,重要发展客户
29033,重要保持客户
22192,低价值客户
42691,重要保持客户
42398,低价值客户
5610,低价值客户
11771,一般客户
58457,低价值客户
41038,一般客户
48451,重要挽留客户
13320,重要保持客户
45473,低价值客户
62028,一般客户
29972,重要挽留客户
19999,低价值客户
24494,一般客户
11235,重要挽留客户
52467,低价值客户
33965,低价值客户
45339,重要保持客户
55762,重要发展客户
25073,低价值客户
6164,重要发展客户
16885,低价值客户
7056,低价值客户
23998,低价值客户
19234,重要挽留客户
51858,一般客户
20430,重要挽留客户
19543,低价值客户
29667,一般客户
5343,低价值客户
51456,重要发展客户
37099,重要挽留客户
13444,低价值客户
32429,低价值客户
3168,重要挽留客户
24526,低价值客户
38148,重要挽留客户
40919,低价值客户
22528,低价值客户
60969,一般客户
60730,低价值客户
40464,一般客户
60760,一般客户
27369,一般客户
36597,重要挽留客户
60940,低价值客户
39877,重要挽留客户
55876,低价值客户
55182,一般客户
48252,重要保持客户
24041,一般客户
3901,低价值客户
28260,重要挽留客户
60180,一般客户
42968,低价值客户
46225,重要挽留客户
49771,一般客户
30043,重要挽留客户
25755,重要发展客户
34378,重要发展客户
6800,低价值客户
34695,一般客户
41399,低价值客户
32076,低价值客户
38364,一般客户
41576,一般客户
5873,低价值客户
34699,低价值客户
5206,低价值客户
51778,重要发展客户
5940,一般客户
4324,重要保持客户
51849,低价值客户
10219,重要挽留客户
45505,低价值客户
38303,重要挽留客户
62391,一般客户
41940,低价值客户
42914,低价值客户
51459,重要发展客户
60244,低价值客户
17340,重要保持客户
60333,低价值客户
5324,一般客户
9626,重要挽留客户
35204,一般客户
45234,低价值客户
23270,重要发展客户
30373,重要挽留客户
42767,低价值客户
23730,低价值客户
28561,一般客户
33688,重要发展客户
47018,重要发展客户
18607,低价值客户
33717,低价值客户
31822,低价值客户
7986,一般客户
4565,一般客户
36141,低价值客户
9730,重要挽留客户
43931,低价值客户
38224,重要挽留客户
52462,低价值客户
15878,重要发展客户
13084,重要保持客户
10003,重要保持客户
26244,重要挽留客户
8218,低价值客户
23297,一般客户
45697,重要挽留客户
36099,一般客户
56732,重要保持客户
39383,重要发展客户
22293,一般客户
56455,重要挽留客户
47642,重要挽留客户
50499,一般客户
41731,一般客户
12033,重要发展客户
15445,一般客户
54938,重要保持客户
34574,一般客户
44265,低价值客户
44759,重要挽留客户
32686,低价值客户
56938,一般客户
9559,重要挽留客户
53092,低价值客户
47570,重要挽留客户
60977,低价值客户
36902,重要挽留客户
10820,低价值客户
26108,低价值客户
19577,低价值客户
55490,低价值客户
10322,低价值客户
57373,重要挽留客户
30838,低价值客户
62402,一般客户
11848,重要挽留客户
58313,低价值客户
37507,重要发展客户
18292,一般客户
27384,低价值客户
26674,重要保持客户
30153,重要挽留客户
61999,一般客户
37145,一般客户
51474,重要保持客户
4694,一般客户
2269,重要挽留客户
28955,低价值客户
22559,低价值客户
5911,低价值客户
55300,重要挽留客户
43600,一般客户
28803,低价值客户
25621,低价值客户
8710,重要保持客户
14700,一般客户
7377,低价值客户
57038,重要挽留客户
2808,重要挽留客户
43621,重要发展客户
49031,低价值客户
22886,低价值客户
12482,一般客户
12502,重要挽留客户
5791,一般客户
26225,低价值客户
15462,低价值客户
11396,重要挽留客户
19179,重要保持客户
61319,重要发展客户
13653,低价值客户
39594,重要挽留客户
44307,一般客户
44119,低价值客户
6150,一般客户
14715,低价值客户
12768,一般客户
29670,重要挽留客户
27525,一般客户
46364,重要挽留客户
49949,低价值客户
19722,低价值客户
34174,低价值客户
16139,一般客户
49617,低价值客户
22477,低价值客户
39049,重要挽留客户
15907,低价值客户
39205,重要挽留客户
62084,低价值客户
434,一般客户
704,重要挽留客户
42541,一般客户
46494,低价值客户
34116,低价值客户
48069,一般客户
16940,一般客户
32082,低价值客户
59206,重要保持客户
34453,重要保持客户
25098,低价值客户
15688,低价值客户
30949,低价值客户
62524,重要挽留客户
30432,重要发展客户
59029,低价值客户
7114,低价值客户
12821,重要挽留客户
23522,低价值客户
55281,重要挽留客户
62783,重要挽留客户
57775,重要发展客户
15267,重要发展客户
2807,重要挽留客户
46370,重要挽留客户
26757,重要挽留客户
40765,一般客户
53286,低价值客户
19450,重要挽留客户
59676,一般客户
40273,重要发展客户
32207,一般客户
57948,一般客户
8018,低价值客户
110,低价值客户
26196,低价值客户
26274,一般客户
54137,低价值客户
32118,低价值客户
50272,重要发展客户
27730,一般客户
25156,低价值客户
29103,重要保持客户
59919,低价值客户
25906,低价值客户
60081,低价值客户
51160,低价值客户
23903,低价值客户
55,低价值客户
188,低价值客户
27940,重要挽留客户
44458,低价值客户
1978,低价值客户
45542,低价值客户
18087,重要挽留客户
23533,重要发展客户
35474,重要挽留客户
38593,重要挽留客户
46404,重要挽留客户
60570,低价值客户
44393,一般客户
50104,重要发展客户
4911,重要发展客户
48226,一般客户
27723,重要挽留客户
20166,重要挽留客户
22685,一般客户
26491,低价值客户
33839,一般客户
24753,低价值客户
32101,一般客户
11155,重要挽留客户
45031,一般客户
62827,一般客户
41756,低价值客户
25633,低价值客户
15081,低价值客户
24796,一般客户
58141,重要保持客户
27320,低价值客户
33123,低价值客户
24871,一般客户
49571,低价值客户
31208,低价值客户
58173,低价值客户
33872,一般客户
33195,低价值客户
19287,重要挽留客户
18393,低价值客户
59481,低价值客户
41242,低价值客户
3720,重要挽留客户
3414,低价值客户
51832,低价值客户
15550,重要发展客户
36375,低价值客户
2938,重要挽留客户
3758,重要发展客户
27300,低价值客户
17907,重要挽留客户
3728,重要挽留客户
41310,一般客户
7814,低价值客户
57182,重要挽留客户
19879,低价值客户
4839,低价值客户
42024,一般客户
5684,低价值客户
43989,一般客户
59618,一般客户
19148,重要挽留客户
38604,重要保持客户
23842,重要发展客户
36702,一般客户
45058,重要挽留客户
55225,重要挽留客户
53416,一般客户
55450,重要发展客户
12509,重要挽留客户
19479,重要挽留客户
60091,一般客户
3695,一般客户
12267,重要挽留客户
11316,一般客户
42919,低价值客户
54091,一般客户
23635,低价值客户
49296,一般客户
29512,重要挽留客户
10722,低价值客户
20124,重要挽留客户
2293,重要挽留客户
57647,一般客户
12296,低价值客户
13138,重要发展客户
47997,一般客户
58081,低价值客户
34377,低价值客户
40789,低价值客户
6069,重要发展客户
3071,重要发展客户
58328,重要发展客户
15971,一般客户
11925,一般客户
40883,低价值客户
29878,重要保持客户
49020,低价值客户
60027,重要发展客户
28676,低价值客户
23473,重要保持客户
37518,低价值客户
23801,一般客户
58888,一般客户
62728,一般客户
58350,低价值客户
39055,重要发展客户
47402,重要挽留客户
54286,低价值客户
29574,重要保持客户
56345,重要挽留客户
27671,重要挽留客户
10423,低价值客户
35206,重要发展客户
60789,一般客户
53651,重要挽留客户
15128,一般客户
2122,重要挽留客户
10520,重要挽留客户
46889,低价值客户
46010,重要挽留客户
31969,低价值客户
55850,低价值客户
32406,一般客户
15499,低价值客户
3885,重要挽留客户
59293,低价值客户
24820,低价值客户
30186,重要挽留客户
37791,低价值客户
20050,低价值客户
51299,低价值客户
51060,一般客户
31150,重要发展客户
61836,一般客户
14788,低价值客户
30277,重要挽留客户
52126,重要发展客户
22244,低价值客户
50239,重要发展客户
38480,重要挽留客户
56316,重要挽留客户
20435,重要挽留客户
29600,重要挽留客户
60218,低价值客户
12373,重要挽留客户
58250,重要挽留客户
25,重要挽留客户
36066,低价值客户
48721,重要挽留客户
61317,低价值客户
5013,低价值客户
25052,一般客户
3936,重要保持客户
57778,低价值客户
44569,重要挽留客户
7421,重要发展客户
8430,重要挽留客户
18474,一般客户
57192,一般客户
8762,重要挽留客户
3590,重要保持客户
29497,重要挽留客户
37639,一般客户
54762,重要挽留客户
34421,重要发展客户
40032,重要挽留客户
1897,低价值客户
1746,重要发展客户
4192,重要保持客户
28674,低价值客户
60430,低价值客户
21334,重要挽留客户
55687,低价值客户
34293,重要发展客户
30738,重要挽留客户
49177,重要挽留客户
13837,重要发展客户
32384,低价值客户
38306,重要挽留客户
50353,一般客户
10075,重要挽留客户
8587,一般客户
23783,低价值客户
41220,低价值客户
8222,一般客户
22018,低价值客户
18618,低价值客户
16328,低价值客户
38840,重要发展客户
2490,重要保持客户
21220,低价值客户
55054,重要挽留客户
1531,一般客户
13408,一般客户
9535,一般客户
26134,一般客户
50730,低价值客户
47974,重要挽留客户
44575,重要挽留客户
35263,重要保持客户
52808,低价值客户
48956,低价值客户
1131,重要挽留客户
32754,低价值客户
7874,一般客户
36363,低价值客户
5909,一般客户
2030,重要保持客户
11264,重要挽留客户
36457,低价值客户
41271,重要发展客户
47658,重要发展客户
53236,重要发展客户
19844,低价值客户
37804,重要保持客户
55199,重要挽留客户
59350,一般客户
9170,一般客户
25058,低价值客户
37955,低价值客户
4810,一般客户
15302,低价值客户
37953,低价值客户
20168,重要挽留客户
40514,低价值客户
32717,低价值客户
34158,一般客户
26879,重要挽留客户
56728,重要挽留客户
54181,低价值客户
14497,低价值客户
3251,重要挽留客户
8941,重要挽留客户
51097,低价值客户
60846,低价值客户
934,重要挽留客户
10351,重要保持客户
32257,低价值客户
37581,一般客户
8378,一般客户
56229,重要保持客户
58335,重要挽留客户
24695,低价值客户
8891,重要挽留客户
31416,低价值客户
37030,重要挽留客户
26833,重要保持客户
22873,低价值客户
22655,低价值客户
36689,重要挽留客户
46531,低价值客户
10307,重要保持客户
41300,低价值客户
44842,重要保持客户
4370,重要发展客户
37772,一般客户
37728,一般客户
27235,重要保持客户
9434,重要发展客户
46936,低价值客户
41387,低价值客户
11981,一般客户
43558,重要发展客户
62630,重要挽留客户
3321,重要保持客户
4435,低价值客户
39065,重要挽留客户
80,低价值客户
9682,重要挽留客户
42867,低价值客户
44771,重要挽留客户
58853,重要发展客户
10408,低价值客户
39547,一般客户
38792,一般客户
38941,重要挽留客户
39287,一般客户
21606,重要挽留客户
53192,一般客户
22936,重要发展客户
33681,重要发展客户
38087,重要挽留客户
18086,重要发展客户
34196,低价值客户
10963,低价值客户
50295,一般客户
19297,重要挽留客户
34671,重要发展客户
15311,重要发展客户
37757,低价值客户
26383,重要发展客户
32160,重要保持客户
50399,一般客户
44339,重要发展客户
14852,一般客户
48895,重要保持客户
10473,低价值客户
17002,低价值客户
28048,一般客户
60033,重要发展客户
42860,一般客户
41320,一般客户
52622,一般客户
49241,重要挽留客户
38002,重要挽留客户
56000,低价值客户
57337,重要发展客户
8599,重要挽留客户
44774,重要挽留客户
42020,低价值客户
20582,重要挽留客户
7934,一般客户
1925,重要发展客户
35941,低价值客户
60800,重要发展客户
22281,重要保持客户
40213,重要挽留客户
50022,低价值客户
11230,重要挽留客户
43866,低价值客户
11631,重要发展客户
52285,低价值客户
40195,重要挽留客户
23130,低价值客户
57111,重要保持客户
11436,重要发展客户
19873,重要保持客户
13978,低价值客户
58970,低价值客户
40253,一般客户
3037,重要挽留客户
54371,重要保持客户
33484,一般客户
19466,一般客户
10210,一般客户
14767,低价值客户
10298,重要保持客户
47258,重要挽留客户
27274,低价值客户
39388,一般客户
41838,低价值客户
8397,低价值客户
56853,重要挽留客户
17598,重要发展客户
51993,一般客户
24507,低价值客户
58363,低价值客户
50805,重要保持客户
39112,重要挽留客户
9796,重要挽留客户
23973,一般客户
27119,低价值客户
45945,重要挽留客户
10755,低价值客户
14794,重要保持客户
26,一般客户
48206,重要挽留客户
55374,重要挽留客户
31042,重要保持客户
55703,一般客户
13447,低价值客户
4229,重要挽留客户
3472,低价值客户
36803,重要挽留客户
59332,重要发展客户
30132,重要挽留客户
45923,重要挽留客户
36052,低价值客户
4257,低价值客户
60545,低价值客户
59831,低价值客户
52411,低价值客户
37903,低价值客户
6245,低价值客户
1395,重要发展客户
1810,低价值客户
13083,重要挽留客户
55982,低价值客户
571,重要挽留客户
38800,重要挽留客户
10123,重要挽留客户
62479,重要挽留客户
58214,重要挽留客户
20914,重要挽留客户
4791,低价值客户
5114,低价值客户
43494,低价值客户
28518,重要发展客户
45993,重要挽留客户
49573,低价值客户
61669,重要挽留客户
18638,低价值客户
29894,一般客户
3096,重要挽留客户
61294,一般客户
43505,低价值客户
43288,低价值客户
56724,一般客户
50150,低价值客户
3579,一般客户
40378,一般客户
43726,低价值客户
52083,一般客户
34834,低价值客户
55573,低价值客户
26763,重要挽留客户
9640,重要挽留客户
27344,一般客户
20321,重要发展客户
47282,重要挽留客户
12323,一般客户
36424,低价值客户
38372,重要挽留客户
38051,重要保持客户
11657,重要挽留客户
48677,一般客户
9870,重要保持客户
57617,重要挽留客户
8972,低价值客户
2248,重要保持客户
10079,重要挽留客户
24177,低价值客户
32579,低价值客户
13157,重要发展客户
49182,低价值客户
61402,一般客户
10212,重要挽留客户
61510,重要发展客户
21979,一般客户
15090,低价值客户
36591,重要挽留客户
43440,低价值客户
44639,重要挽留客户
30319,重要挽留客户
1326,低价值客户
60657,一般客户
33317,低价值客户
6771,低价值客户
8938,重要挽留客户
1959,低价值客户
21482,重要挽留客户
30406,重要挽留客户
61588,重要发展客户
2096,重要挽留客户
31704,重要保持客户
21604,一般客户
12026,重要挽留客户
51176,低价值客户
18083,重要保持客户
28715,一般客户
37561,低价值客户
58953,低价值客户
4252,低价值客户
38656,重要挽留客户
4499,重要发展客户
24282,低价值客户
23018,低价值客户
19626,低价值客户
35869,重要挽留客户
11625,一般客户
32507,低价值客户
10394,低价值客户
40959,低价值客户
24703,低价值客户
54838,重要保持客户
3310,重要挽留客户
46234,重要挽留客户
21166,重要发展客户
17132,低价值客户
26345,低价值客户
771,重要挽留客户
32288,低价值客户
52517,低价值客户
19594,一般客户
47021,低价值客户
52977,低价值客户
9409,低价值客户
12755,重要挽留客户
41545,低价值客户
48774,重要保持客户
54408,重要发展客户
22773,低价值客户
50049,一般客户
41253,低价值客户
61721,低价值客户
46993,低价值客户
20869,重要挽留客户
8147,低价值客户
5077,重要发展客户
2698,重要挽留客户
13566,重要保持客户
13617,一般客户
57652,重要挽留客户
29886,重要挽留客户
49647,低价值客户
48915,重要发展客户
59048,重要保持客户
19540,重要保持客户
36137,低价值客户
45047,重要发展客户
28549,一般客户
25324,低价值客户
59725,低价值客户
55692,一般客户
25078,低价值客户
52595,重要保持客户
18894,重要挽留客户
31132,低价值客户
59110,一般客户
34877,一般客户
45817,重要挽留客户
15937,一般客户
46357,重要挽留客户
226,一般客户
11162,重要挽留客户
35747,重要挽留客户
14132,低价值客户
51818,低价值客户
45865,重要挽留客户
4099,重要挽留客户
5842,低价值客户
44322,低价值客户
16162,低价值客户
22188,低价值客户
34531,低价值客户
12275,重要保持客户
61710,低价值客户
52663,低价值客户
62648,重要挽留客户
43323,低价值客户
36340,重要保持客户
34989,低价值客户
44544,重要挽留客户
52274,低价值客户
35727,重要挽留客户
35453,重要挽留客户
44990,重要保持客户
47434,重要挽留客户
59526,一般客户
62583,重要挽留客户
57121,重要挽留客户
54334,一般客户
31908,低价值客户
31422,重要发展客户
22385,重要保持客户
3475,低价值客户
36474,低价值客户
17384,一般客户
6804,低价值客户
13794,重要保持客户
965,重要挽留客户
29753,重要挽留客户
7578,一般客户
5110,低价值客户
48056,重要挽留客户
11791,重要挽留客户
26973,重要挽留客户
21961,低价值客户
43952,低价值客户
10685,一般客户
62710,重要挽留客户
53724,重要挽留客户
44984,重要保持客户
30075,重要挽留客户
4425,低价值客户
62761,重要挽留客户
24211,一般客户
28962,低价值客户
12593,重要挽留客户
13310,重要挽留客户
42831,重要发展客户
18541,低价值客户
22791,低价值客户
34325,低价值客户
2540,重要挽留客户
14412,低价值客户
33353,一般客户
17364,一般客户
21659,重要发展客户
26528,一般客户
54709,重要挽留客户
20332,重要挽留客户
23636,一般客户
54863,一般客户
43929,低价值客户
40309,低价值客户
27984,重要挽留客户
51895,低价值客户
58303,低价值客户
60042,低价值客户
61703,重要挽留客户
14790,低价值客户
20545,重要保持客户
29030,重要挽留客户
6460,低价值客户
327,低价值客户
20824,重要挽留客户
6531,一般客户
47504,重要挽留客户
41528,低价值客户
23889,低价值客户
762,重要发展客户
1163,重要挽留客户
18221,低价值客户
61389,低价值客户
35158,低价值客户
57030,一般客户
38702,重要挽留客户
5501,低价值客户
56817,重要挽留客户
15796,低价值客户
62091,重要保持客户
40218,重要保持客户
17239,低价值客户
26508,一般客户
10064,重要保持客户
56629,重要发展客户
16747,重要保持客户
34132,低价值客户
50042,低价值客户
23441,低价值客户
33646,低价值客户
6024,一般客户
22102,重要挽留客户
26148,一般客户
12127,重要挽留客户
40834,低价值客户
41413,低价值客户
43897,重要保持客户
36808,重要挽留客户
11856,重要挽留客户
31507,低价值客户
33999,低价值客户
58667,一般客户
13627,低价值客户
24009,低价值客户
19093,重要挽留客户
54405,低价值客户
59773,重要发展客户
54991,重要发展客户
54224,一般客户
39963,重要挽留客户
33734,重要保持客户
8036,一般客户
10534,低价值客户
39649,重要挽留客户
19725,低价值客户
18475,低价值客户
49328,低价值客户
18345,一般客户
48509,一般客户
4407,低价值客户
22247,重要发展客户
31905,低价值客户
47202,重要挽留客户
20143,重要挽留客户
11229,重要挽留客户
40227,低价值客户
19754,低价值客户
33891,低价值客户
61483,低价值客户
58315,一般客户
56529,重要挽留客户
28601,低价值客户
2022,重要挽留客户
27848,重要发展客户
25909,低价值客户
12822,一般客户
3453,低价值客户
15303,低价值客户
57856,一般客户
1814,低价值客户
27490,一般客户
28673,低价值客户
18137,低价值客户
37298,重要挽留客户
8335,重要保持客户
1306,一般客户
9129,低价值客户
2383,重要挽留客户
5224,低价值客户
33883,低价值客户
9142,低价值客户
30113,重要保持客户
35706,重要挽留客户
25571,一般客户
34135,低价值客户
3344,重要挽留客户
16879,低价值客户
9855,重要挽留客户
15333,低价值客户
42214,低价值客户
589,重要挽留客户
51312,一般客户
29649,重要保持客户
40978,一般客户
16978,一般客户
16813,重要发展客户
39642,重要挽留客户
15525,一般客户
38025,重要挽留客户
27219,一般客户
20883,重要挽留客户
52442,一般客户
27728,重要挽留客户
18844,重要发展客户
34615,重要发展客户
17185,一般客户
41445,一般客户
9444,低价值客户
10969,重要挽留客户
21494,重要挽留客户
36698,重要挽留客户
33273,一般客户
21270,重要挽留客户
60773,低价值客户
44267,低价值客户
14958,重要发展客户
29932,重要挽留客户
9761,重要挽留客户
60013,一般客户
12030,重要挽留客户
15715,重要发展客户
50642,低价值客户
4618,重要保持客户
8473,重要挽留客户
23544,低价值客户
60837,一般客户
2931,重要挽留客户
47088,重要发展客户
58383,一般客户
59577,重要发展客户
45296,重要保持客户
12515,重要挽留客户
36935,一般客户
33576,低价值客户
50668,一般客户
9336,低价值客户
29394,重要保持客户
53459,低价值客户
743,重要保持客户
2296,重要发展客户
41793,低价值客户
12899,重要挽留客户
50112,重要保持客户
44213,低价值客户
49733,低价值客户
50846,一般客户
17167,重要发展客户
33985,一般客户
27120,重要保持客户
54390,重要保持客户
39157,重要挽留客户
9739,重要挽留客户
41443,一般客户
47711,重要挽留客户
51166,重要发展客户
54141,低价值客户
47895,重要保持客户
19751,重要保持客户
20659,重要挽留客户
13667,低价值客户
8113,一般客户
1580,低价值客户
13983,低价值客户
44398,一般客户
35003,一般客户
11592,一般客户
25887,重要保持客户
61863,一般客户
20865,重要挽留客户
36147,低价值客户
24649,低价值客户
18419,低价值客户
26812,重要保持客户
10039,重要挽留客户
609,一般客户
53121,一般客户
41136,低价值客户
572,重要保持客户
36441,低价值客户
7559,低价值客户
33969,低价值客户
38367,重要挽留客户
62915,重要挽留客户
41615,低价值客户
9086,一般客户
31766,低价值客户
6294,一般客户
14253,一般客户
51237,低价值客户
5602,一般客户
50057,低价值客户
11125,重要挽留客户
15169,低价值客户
45798,一般客户
38084,重要保持客户
3869,重要发展客户
29819,一般客户
15345,一般客户
28947,低价值客户
9272,低价值客户
29505,重要挽留客户
41531,一般客户
60002,重要发展客户
6266,一般客户
8839,重要挽留客户
19139,重要挽留客户
53420,低价值客户
61732,低价值客户
4800,重要保持客户
14289,低价值客户
14375,重要发展客户
929,重要挽留客户
37147,重要挽留客户
47166,重要保持客户
32882,低价值客户
19226,重要挽留客户
7374,重要发展客户
9638,重要保持客户
451,低价值客户
24607,重要发展客户
46003,重要保持客户
49945,重要保持客户
29572,一般客户
28725,一般客户
61751,低价值客户
50257,低价值客户
20922,重要挽留客户
45237,低价值客户
7474,低价值客户
40572,低价值客户
35087,低价值客户
44516,重要保持客户
19937,低价值客户
61943,低价值客户
41436,低价值客户
58522,低价值客户
18547,低价值客户
29931,重要挽留客户
51240,低价值客户
28254,重要挽留客户
44819,重要挽留客户
55908,重要发展客户
41262,一般客户
52380,一般客户
20148,重要挽留客户
42987,一般客户
22118,重要发展客户
6414,一般客户
55837,低价值客户
16172,低价值客户
14254,低价值客户
43269,一般客户
10176,重要保持客户
49732,一般客户
59969,低价值客户
37287,重要保持客户
29587,重要挽留客户
30342,重要挽留客户
17790,重要挽留客户
31701,低价值客户
43828,低价值客户
33925,低价值客户
38745,一般客户
28040,重要挽留客户
1498,低价值客户
62422,低价值客户
47075,重要保持客户
7658,重要挽留客户
30258,重要挽留客户
10476,低价值客户
36237,一般客户
5773,低价值客户
9945,重要挽留客户
61419,一般客户
18370,低价值客户
24696,低价值客户
19824,重要保持客户
29599,重要挽留客户
34392,一般客户
23813,一般客户
4708,低价值客户
12753,重要发展客户
28339,重要挽留客户
24825,一般客户
53559,重要挽留客户
41327,重要发展客户
41061,重要保持客户
51489,一般客户
46382,重要挽留客户
49038,重要发展客户
15759,低价值客户
52951,低价值客户
56089,重要保持客户
29372,一般客户
2932,重要挽留客户
6766,低价值客户
7119,一般客户
13660,低价值客户
61148,重要发展客户
15742,一般客户
38892,重要挽留客户
49417,重要保持客户
56091,重要保持客户
57915,低价值客户
21922,重要挽留客户
40123,一般客户
48866,低价值客户
14636,重要保持客户
54693,重要挽留客户
46220,重要挽留客户
16477,低价值客户
45585,重要发展客户
42577,低价值客户
1243,重要发展客户
44159,低价值客户
61722,重要保持客户
13781,重要保持客户
16599,低价值客户
50495,低价值客户
7570,重要保持客户
34712,低价值客户
39925,重要保持客户
15145,重要发展客户
15028,低价值客户
56352,重要挽留客户
54731,重要保持客户
4377,重要保持客户
10337,重要保持客户
51913,一般客户
6539,一般客户
60074,重要保持客户
22478,一般客户
52254,低价值客户
59024,低价值客户
8880,重要挽留客户
5752,低价值客户
23465,低价值客户
62138,低价值客户
38641,重要挽留客户
55066,重要挽留客户
5832,低价值客户
14371,重要保持客户
54602,重要保持客户
23107,低价值客户
33405,低价值客户
52971,低价值客户
45415,低价值客户
56653,重要挽留客户
218,低价值客户
24729,低价值客户
10012,重要挽留客户
17893,重要挽留客户
2742,低价值客户
34516,重要发展客户
30862,重要挽留客户
39097,重要挽留客户
29367,重要挽留客户
29368,一般客户
35608,重要挽留客户
15006,一般客户
14761,低价值客户
43444,重要发展客户
11049,重要保持客户
58993,低价值客户
28973,一般客户
61152,低价值客户
